"occurrence_no","name","diet","type","length_m","max_ma","min_ma","region","lng","lat","class","family"
463819,"Saurornitholestes","carnivorous","small theropod",1.5,83.6,72.1,"Alberta",-110.722214,49.1591,"Saurischia","Dromaeosauridae"
463821,"Paronychodon","carnivorous","large theropod",5,83.6,72.1,"Alberta",-110.722214,49.1591,"Saurischia","Troodontidae"
463881,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.848457,49.13797,"Saurischia","Dromaeosauridae"
463883,"Paronychodon","carnivorous","large theropod",5,83.5,70.6,"Alberta",-110.848457,49.13797,"Saurischia","Troodontidae"
463921,"Saurornitholestes","carnivorous","small theropod",1.5,83.6,72.1,"Alberta",-110.719452,49.161789,"Saurischia","Dromaeosauridae"
463922,"Troodon","carnivorous","small theropod",2,83.6,72.1,"Alberta",-110.719452,49.161789,"Saurischia","Troodontidae"
463923,"Richardoestesia","carnivorous","small theropod",1.5,83.6,72.1,"Alberta",-110.719452,49.161789,"Saurischia","Dromaeosauridae"
463924,"Paronychodon","carnivorous","large theropod",5,83.6,72.1,"Alberta",-110.719452,49.161789,"Saurischia","Troodontidae"
463954,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.700768,49.07629,"Saurischia","Dromaeosauridae"
463955,"Paronychodon","carnivorous","large theropod",5,83.5,70.6,"Alberta",-110.700768,49.07629,"Saurischia","Troodontidae"
464337,"Paronychodon","carnivorous","large theropod",5,72.1,66,"Montana",-106.099998,47.799999,"Saurischia","Troodontidae"
464375,"Dromaeosaurus","carnivorous","small theropod",1.8,70.6,66,"Wyoming",-108.667801,41.568298,"Saurischia","Dromaeosauridae"
464376,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Wyoming",-108.667801,41.568298,"Saurischia","Troodontidae"
464433,"Pectinodon",null,null,null,70.6,66,"Wyoming",-104.494713,43.128948,"Saurischia","Troodontidae"
464438,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Montana",-106.400002,47.516701,"Saurischia","Troodontidae"
464497,"Zapsalis",null,null,null,70.6,66,"Wyoming",-104.637001,43.116329,"Saurischia","Dromaeosauridae"
464498,"Pectinodon",null,null,null,70.6,66,"Wyoming",-104.637001,43.116329,"Saurischia","Troodontidae"
464520,"Tyrannosaurus","carnivorous","large theropod",12,72.1,66,"Wyoming",-104.411598,43.441799,"Saurischia","Tyrannosauridae"
464526,"Proceratosaurus","carnivorous","small theropod",4.1,167.7,164.7,"England",-2.195,51.702999,"Saurischia","Proceratosauridae"
464635,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.700768,49.07629,"Saurischia","Dromaeosauridae"
464636,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Alberta",-110.700768,49.07629,"Saurischia","Troodontidae"
464637,"Richardoestesia","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.700768,49.07629,"Saurischia","Dromaeosauridae"
464638,"Paronychodon","carnivorous","large theropod",5,83.5,70.6,"Alberta",-110.700768,49.07629,"Saurischia","Troodontidae"
464676,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.715843,49.074078,"Saurischia","Dromaeosauridae"
